village_id,first_stop,assigned_dh_sdh,closest_facility_type,t_phc_min,t_chc_min,t_dh_sdh_min,d_phc_km,d_chc_km,d_dh_sdh_km,phc_is_functional,chc_is_functional,comment,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
396839,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
396846,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
396835,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
396844,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
396833,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
396834,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
396838,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
396843,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
396836,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
396840,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
396847,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
396841,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
396837,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
396842,3141116180,5123348889,PHC,0.0,129.585,129.585,0.0,153.12079999999995,153.12079999999995,True,True,PHC is closer and functional,129.585,172.34805000000003,33.68657599999999,7.656039999999997,10.718455999999998,1837.4495999999995,382.80199999999985,2296.811999999999
