village_id,first_stop,assigned_dh_sdh,closest_facility_type,t_phc_min,t_chc_min,t_dh_sdh_min,d_phc_km,d_chc_km,d_dh_sdh_km,phc_is_functional,chc_is_functional,comment,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
424203,7472871180,4443772530,CHC,8.178333333333333,5.308333333333334,75.23833333333333,5.4341,3.5233000000000003,66.8933,True,True,CHC is closer and functional,75.23833333333333,100.06698333333334,14.716526,3.344665,4.682531,802.7195999999999,167.23325,1003.3995
424219,4216554115,4443772530,PHC,3.9166666666666665,17.403333333333332,87.33333333333333,2.6029,11.5603,74.9303,True,True,PHC is closer and functional,87.33333333333333,116.15333333333334,16.484666,3.7465150000000005,5.245121000000001,899.1636000000001,187.32575,1123.9545
424515,7472871180,4443772530,CHC,103.01333333333334,97.45666666666666,125.94,68.3167,64.6302,130.5324,True,True,CHC is closer and functional,125.94,167.5002,28.717128,6.52662,9.137268,1566.3888,326.331,1957.9859999999999
424220,4216554115,4443772530,PHC,7.260000000000001,20.746666666666663,90.67666666666668,4.8362,13.7936,77.1636,True,True,PHC is closer and functional,90.67666666666668,120.59996666666669,16.975992,3.8581800000000004,5.401452000000001,925.9632,192.909,1157.454
424215,7472871180,4443772530,CHC,16.813333333333333,11.256666666666666,81.18666666666667,11.0913,7.4048,70.7748,True,True,CHC is closer and functional,81.18666666666667,107.97826666666667,15.570456,3.53874,4.954236000000001,849.2976,176.937,1061.622
424182,1212456717,4443772530,PHC,34.395,65.27333333333334,115.515,19.7236,40.1834,90.4394,True,True,PHC is closer and functional,115.515,153.63495,19.896668000000002,4.5219700000000005,6.330758000000001,1085.2728000000002,226.0985,1356.5910000000001
424218,4216554115,4443772530,PHC,0.0,13.486666666666668,83.41666666666667,0.0,8.9574,72.3274,True,True,PHC is closer and functional,83.41666666666667,110.94416666666667,15.912028,3.61637,5.062918000000001,867.9287999999999,180.8185,1084.911
424472,7472871180,4443772530,CHC,64.76333333333334,59.20666666666667,129.13666666666666,42.988,39.3015,102.6716,True,True,CHC is closer and functional,129.13666666666666,171.75176666666667,22.587752,5.13358,7.187012,1232.0592,256.679,1540.074
424201,4216554115,4443772530,PHC,2.32,15.806666666666668,85.73666666666666,1.5436,10.501,73.871,True,True,PHC is closer and functional,85.73666666666666,114.02976666666667,16.25162,3.69355,5.1709700000000005,886.452,184.67749999999998,1108.0649999999998
424200,7472871180,4443772530,CHC,77.55833333333334,64.07166666666667,114.31333333333332,48.6384,39.681,89.937,True,True,CHC is closer and functional,114.31333333333332,152.03673333333333,19.78614,4.49685,6.295590000000001,1079.244,224.8425,1349.055
424516,7472871180,4443772530,CHC,103.01333333333334,97.45666666666666,125.94,68.3167,64.6302,130.5324,True,True,CHC is closer and functional,125.94,167.5002,28.717128,6.52662,9.137268,1566.3888,326.331,1957.9859999999999
424223,4216554115,4443772530,PHC,11.738333333333332,25.225,95.155,7.8015,16.7589,80.12889999999999,True,True,PHC is closer and functional,95.155,126.55615,17.628358,4.006444999999999,5.609023,961.5467999999998,200.32224999999997,1201.9334999999999
424474,7472871180,4443772530,CHC,64.76333333333334,59.20666666666667,129.13666666666666,42.988,39.3015,102.6716,True,True,CHC is closer and functional,129.13666666666666,171.75176666666667,22.587752,5.13358,7.187012,1232.0592,256.679,1540.074
424224,4216554115,4443772530,PHC,6.983333333333333,20.47,90.4,4.650399999999999,13.6078,76.9778,True,True,PHC is closer and functional,90.4,120.23200000000001,16.935116,3.8488900000000004,5.388446000000001,923.7336,192.4445,1154.667
424471,7472871180,4443772530,CHC,64.76333333333334,59.20666666666667,129.13666666666666,42.988,39.3015,102.6716,True,True,CHC is closer and functional,129.13666666666666,171.75176666666667,22.587752,5.13358,7.187012,1232.0592,256.679,1540.074
424226,4216554115,4443772530,PHC,4.296666666666667,17.783333333333335,87.71333333333334,2.8587,11.8161,75.18610000000001,True,True,PHC is closer and functional,87.71333333333334,116.65873333333334,16.540942,3.759305000000001,5.263027000000001,902.2332000000001,187.96525000000003,1127.7915000000003
424225,4216554115,4443772530,PHC,4.296666666666667,17.783333333333335,87.71333333333334,2.8587,11.8161,75.18610000000001,True,True,PHC is closer and functional,87.71333333333334,116.65873333333334,16.540942,3.759305000000001,5.263027000000001,902.2332000000001,187.96525000000003,1127.7915000000003
424202,4216554115,4443772530,PHC,4.408333333333333,9.078333333333337,79.00833333333334,2.9346,6.0228,69.39280000000001,True,True,PHC is closer and functional,79.00833333333334,105.08108333333335,15.266416000000001,3.4696400000000005,4.857496000000001,832.7136,173.48200000000003,1040.892
424222,4216554115,4443772530,PHC,14.315,27.801666666666662,97.73166666666664,9.5121,18.4695,81.8396,True,True,PHC is closer and functional,97.73166666666664,129.98311666666663,18.004712,4.09198,5.728772000000001,982.0752,204.59900000000002,1227.594
424217,4216554115,4443772530,PHC,1.0983333333333334,12.388333333333332,82.31833333333334,0.7306,8.226799999999999,71.5968,True,True,PHC is closer and functional,82.31833333333334,109.48338333333335,15.751296,3.5798400000000004,5.011776,859.1616,178.99200000000002,1073.952
424221,4216554115,4443772530,PHC,11.023333333333332,24.51,94.44,7.3315,16.288899999999998,79.65889999999999,True,True,PHC is closer and functional,94.44,125.60520000000001,17.524957999999998,3.9829449999999995,5.576123,955.9067999999999,199.14724999999999,1194.8835
