village_id,first_stop,assigned_DH_SDH,closest_facility_type,t_phc_min,t_chc_min,t_dh_sdh_min,d_phc_km,d_chc_km,d_dh_sdh_km,phc_is_functional,chc_is_functional,comment
420893,1263844779,8176664343,PHC,29.476666666666667,39.285,54.940000000000005,23.9103,27.0351,58.369800000000005,True,True,PHC is closer and functional
420897,1263844779,8176664343,PHC,11.911666666666667,20.53166666666667,39.55333333333333,10.0779,17.42,46.3901,True,True,PHC is closer and functional
420895,1263844779,8176664343,PHC,28.53666666666667,38.345,54.0,23.5365,26.6613,57.996,True,True,PHC is closer and functional
420892,1263844779,8176664343,PHC,31.775,41.583333333333336,57.23833333333334,24.8684,27.993299999999998,59.328,True,True,PHC is closer and functional
420896,1263844779,8176664343,PHC,17.043333333333333,25.663333333333334,44.684999999999995,13.494299999999999,20.8365,49.806599999999996,True,True,PHC is closer and functional
421294,1263844779,8176664343,PHC,7.488333333333333,23.41,32.95166666666667,8.3644,27.3551,42.824,True,True,PHC is closer and functional
421270,1263844779,8176664343,PHC,5.533333333333333,23.03166666666667,33.175,4.7317,20.2042,41.0439,True,True,PHC is closer and functional
421268,1263844779,8176664343,PHC,5.883333333333334,38.23833333333334,33.525,4.5623000000000005,33.052800000000005,40.8745,True,True,PHC is closer and functional
421271,1263844779,8176664343,PHC,17.52,32.49666666666666,42.983333333333334,14.372200000000001,23.368599999999997,48.8318,True,True,PHC is closer and functional
420898,1263844779,8176664343,PHC,10.213333333333333,18.833333333333332,37.855000000000004,8.9534,16.2956,45.265699999999995,True,True,PHC is closer and functional
421334,1263844779,8176664343,PHC,22.71333333333333,26.441666666666666,48.17666666666666,21.7395,23.112299999999998,56.199,True,True,PHC is closer and functional
421269,1263844779,8176664343,PHC,5.533333333333333,23.03166666666667,33.175,4.7317,20.2042,41.0439,True,True,PHC is closer and functional
420858,5155255762,8176664343,PHC,2.82,20.553333333333335,74.045,1.1698,8.5305,68.1165,True,True,PHC is closer and functional
420854,5155255762,8176664343,PHC,0.36000000000000004,18.09333333333333,71.58500000000001,0.149,7.5097,67.0957,True,True,PHC is closer and functional
420891,5155255762,8176664343,PHC,30.928333333333335,48.66166666666666,55.52333333333333,12.8439,20.2046,64.1473,True,True,PHC is closer and functional
420899,1263844779,8176664343,PHC,8.611666666666668,17.333333333333332,36.25333333333333,7.8793,15.3945,44.1915,True,True,PHC is closer and functional
420890,5155255762,8176664343,PHC,29.736666666666668,47.47,61.26833333333333,12.3469,19.7076,66.5333,True,True,PHC is closer and functional
420888,5155255762,8176664343,PHC,23.706666666666667,41.440000000000005,65.74499999999999,9.8433,17.204,68.3951,True,True,PHC is closer and functional
420861,5155255762,8176664343,PHC,19.61,37.343333333333334,65.98333333333333,8.1296,15.4903,68.5282,True,True,PHC is closer and functional
420867,2381823877,8176664343,CHC,23.39,5.61,57.125,11.844,4.4833,62.0525,True,True,CHC is closer and functional
420868,2381823877,4417187764,CHC,20.828333333333333,3.0483333333333333,47.02333333333333,9.616299999999999,2.2556,47.0109,True,True,CHC is closer and functional
420889,5155255762,8176664343,PHC,22.465,40.19833333333334,66.98666666666666,9.327200000000001,16.687900000000003,68.9112,True,True,PHC is closer and functional
420864,2381823877,8176664343,CHC,33.693333333333335,15.913333333333332,52.98166666666667,17.634700000000002,10.274,55.6486,True,True,CHC is closer and functional
420860,Village→DH/SDH,8176664343,PHC,50.236666666666665,55.34,54.858333333333334,29.1438,61.0665,72.2523,True,True,Direct to DH/SDH
420866,2381823877,8176664343,CHC,27.308333333333334,9.528333333333334,50.475,14.0586,6.698,55.5079,True,True,CHC is closer and functional
420863,5155255762,8176664343,PHC,13.6,31.333333333333332,68.615,5.648899999999999,13.0096,69.62660000000001,True,True,PHC is closer and functional
420856,5155255762,8176664343,PHC,7.0649999999999995,24.798333333333336,75.14833333333333,2.9332,10.293899999999999,72.34230000000001,True,True,PHC is closer and functional
420857,5155255762,8176664343,PHC,10.458333333333334,28.191666666666666,71.75666666666666,4.3426,11.703299999999999,70.93289999999999,True,True,PHC is closer and functional
420855,5155255762,8176664343,PHC,1.6666666666666667,16.066666666666666,69.55833333333334,0.6952999999999999,6.6654,66.25139999999999,True,True,PHC is closer and functional
420849,5155255762,4417187764,PHC,7.928333333333333,10.556666666666667,56.35,3.2959,4.3667,49.967800000000004,True,True,PHC is closer and functional
420865,2381823877,8176664343,CHC,28.18,10.4,43.18666666666666,16.4295,9.0688,50.517199999999995,True,True,CHC is closer and functional
420859,5155255762,4417187764,PHC,54.55333333333333,59.656666666666666,95.735,31.7716,63.694300000000005,80.4555,True,True,PHC is closer and functional
420862,5155255762,8176664343,PHC,22.766666666666666,40.5,59.44833333333334,9.4543,16.815,65.82119999999999,True,True,PHC is closer and functional
420894,1263844779,8176664343,PHC,28.53666666666667,38.345,54.0,23.5365,26.6613,57.996,True,True,PHC is closer and functional
420827,7255155561,4417187764,PHC,13.025,20.528333333333332,64.17666666666666,5.8837,14.1614,53.9149,True,True,PHC is closer and functional
420826,7255155561,4417187764,PHC,7.8933333333333335,22.540000000000003,59.044999999999995,3.7706,17.5028,51.8017,True,True,PHC is closer and functional
420846,2381823877,4417187764,CHC,20.873333333333335,3.225,47.75833333333333,9.5297,2.5025999999999997,47.673,True,True,CHC is closer and functional
420839,2381823877,4417187764,CHC,12.021666666666667,8.13,52.663333333333334,10.0803,6.98,52.1505,True,True,CHC is closer and functional
420831,7255155561,4417187764,PHC,18.225,22.455,66.98833333333333,10.5733,14.9579,60.1283,True,True,PHC is closer and functional
